QuestionID,Difficulty_Points,Question,Keywords,Answer,Category,Language,Challenge,StarterCode,ExpectedOutput
131,35,¿Qué es el event loop en JavaScript?,"""event loop, JavaScript, asincrónico, tareas, call stack, ejecución, cola""","El event loop en JavaScript es un mecanismo que gestiona la ejecución de tareas asincrónicas, moviendo las tareas de la cola de tareas al stack de llamadas cuando el stack está vacío.",javascript,Spanish,FALSE,,
132,35,¿Cuál es el propósito del método bind en JavaScript?,"""método bind, JavaScript, bind(), this, función, contexto, método""","El método bind() en JavaScript se usa para crear una nueva función que, cuando se invoca, tiene un valor específico de this.",javascript,Spanish,FALSE,,
133,35,Explica el concepto de herencia prototípica en JavaScript.,"""herencia prototípica, JavaScript, prototipo, herencia, objetos, cadena""",La herencia prototípica en JavaScript es un sistema en el que los objetos pueden heredar propiedades directamente de otros objetos a través del prototipo.,javascript,Spanish,FALSE,,
134,35,¿Qué son los generadores en JavaScript y en qué se diferencian de las funciones regulares?,"""generadores, JavaScript, funciones generadoras, yield, funciones regulares, pausar, reanudar""","Los generadores en JavaScript son funciones que pueden pausar su ejecución utilizando yield y reanudarla posteriormente, a diferencia de las funciones regulares que se ejecutan de principio a fin.",javascript,Spanish,FALSE,,
135,35,¿Cuál es la diferencia entre ejecución síncrona y asíncrona en JavaScript?,"""síncrono, asíncrono, JavaScript, ejecución, diferencia, bloqueo, no bloqueo""","La ejecución síncrona ocurre en secuencia, bloqueando el código hasta que se completa, mientras que la ejecución asíncrona permite que otras tareas se ejecuten mientras una tarea está en progreso.",javascript,Spanish,FALSE,,
136,35,¿Cómo manejas errores en JavaScript usando bloques try-catch-finally?,"""manejar errores, JavaScript, try-catch-finally, excepción, manejo de errores, error, errores""","Usas bloques try-catch-finally para manejar errores en JavaScript; try ejecuta el código, catch captura cualquier error, y finally ejecuta el código independientemente de si se produjo un error o no.",javascript,Spanish,FALSE,,
137,35,¿Qué es el event loop y cómo funciona con el stack de llamadas y la cola de tareas en JavaScript?,"""event loop, stack de llamadas, cola de tareas, JavaScript, asincrónico, ejecución, pila, stack, asincrónica, tareas""","El event loop coordina el stack de llamadas y la cola de tareas en JavaScript, moviendo las tareas a la pila cuando la pila está vacía, gestionando la ejecución asincrónica.",javascript,Spanish,FALSE,,
138,35,¿Cómo se comporta la palabra clave this en diferentes contextos en JavaScript?,"""this, comportamiento, contexto, función, objeto, invoca, función, entorno""","La palabra clave this en JavaScript se refiere al objeto en el contexto en el que se invoca una función, y su valor puede cambiar según el entorno (global, método, función).",javascript,Spanish,FALSE,,
139,35,¿Qué son los módulos de JavaScript y cómo se utilizan?,"""import, export, importar, exportar, encapsulación, código, modular""",Los módulos de JavaScript son archivos que permiten encapsular código reutilizable. Se utilizan mediante las palabras clave import y export.,javascript,Spanish,FALSE,,
140,65,¿Cuál es el propósito de la API Reflect en JavaScript?,"""API Reflect, JavaScript, Reflect, operaciones de objeto, método, metaprogramación""","La API Reflect en JavaScript proporciona métodos para interactuar con los objetos, facilitando operaciones como la manipulación de propiedades de manera más fácil y coherente.",javascript,Spanish,FALSE,,
141,65,"¿Cuáles son las diferencias entre Object.freeze(), Object.seal() y Object.preventExtensions() en JavaScript?","""Object.freeze(), Object.seal(), Object.preventExtensions(), diferencias, inmutabilidad, restricciones""",Object.freeze() inmoviliza completamente un objeto; Object.seal() previene la adición o eliminación de propiedades; Object.preventExtensions() evita solo la adición de nuevas propiedades.,javascript,Spanish,FALSE,,
142,65,Explica el concepto de una Expresión de Función Ejecutada Inmediatamente (IIFE) y sus usos.,"""Expresión, Función, Ejecutada, Inmediatamente, IIFE, contaminación, función, ejecución, ámbito, usos""",Una IIFE es una función en JavaScript que se ejecuta inmediatamente después de su definición. Se usa comúnmente para evitar la contaminación del ámbito global.,javascript,Spanish,FALSE,,
143,65,¿Qué es un closure en JavaScript?,"""closure, JavaScript, función, ámbito, entorno léxico, acceso, variables, recuerda, recordar""","Un closure en JavaScript es una función que recuerda el ámbito en el que fue creada, incluso después de que ese ámbito haya terminado.",javascript,Spanish,FALSE,,
144,65,"Explica el concepto de ""hoisting"" en JavaScript.","""hoisting, comportamiento, contexto, antes, variables, funciones, declaración, memoria, ejecución""","El ""hoisting"" en JavaScript es el comportamiento por el cual las declaraciones de variables y funciones se mueven al principio de su contexto de ejecución antes de que se ejecute el código.",javascript,Spanish,FALSE,,
145,65,¿Cuál es la diferencia entre los métodos call y apply en JavaScript?,"""método call, método apply, JavaScript, función, argumentos, contexto, diferencia""","call y apply en JavaScript invocan funciones con un contexto específico, pero call acepta una lista de argumentos, mientras que apply acepta un array.",javascript,Spanish,FALSE,,
146,65,¿Cómo funciona la delegación de eventos en JavaScript?,"""delegación, JavaScript, manejo de eventos, burbujeo, elemento padre, elemento hijo""","La delegación de eventos en JavaScript permite que un evento manejado por un elemento padre responda a eventos disparados por sus hijos, aprovechando la propagación del evento.",javascript,Spanish,FALSE,,
147,65,Cuál es el propósito del objeto Promise en JavaScript?,"""objeto, Promise, espera, asincrónico, manejo, resolver, rechazar, estado, promesa, promete""","El objeto Promise en JavaScript se utiliza para manejar operaciones asincrónicas, permitiendo que el código espere hasta que una operación se complete o falle.",javascript,Spanish,FALSE,,
148,65,¿Cuál es la diferencia entre == y === en JavaScript?,"""==, ===, JavaScript, comparación, igualdad, tipo, coerción, igualdad estricta""","""=="" compara los valores con coerción de tipos, mientras que === compara tanto el valor como el tipo sin coerción.",javascript,Spanish,FALSE,,
149,65,¿Cuál es el uso de la palabra clave let en JavaScript?,"""palabra clave let, var, ámbito, bloque, variables, declaración, ES6, declarar""","La palabra clave let en JavaScript declara variables con un ámbito de bloque, reemplazando la funcionalidad limitada de var.",javascript,Spanish,FALSE,,
150,15,¿Cómo se declara una variable en Java?,"""declarar variable, Java, tipo, nombre, sintaxis""",Se declara especificando el tipo seguido del nombre de la variable.,java,Spanish,FALSE,,
151,15,¿Cómo se escribe un comentario de una sola línea en Java?,"""comentario de una sola línea, Java, //, sintaxis, comentario""",Se escribe con // al inicio de la línea.,java,Spanish,FALSE,,
152,15,¿Cómo se inicializa un array en Java?,"""array, inicializar, new, tipo de dato, tamaño, Java""",Se inicializa usando new seguido del tipo de dato y el tamaño del array.,java,Spanish,FALSE,,
153,15,¿Qué es el método main en Java?,"""método main, Java, punto de entrada, programa""",El método main es el punto de entrada de un programa Java.,java,Spanish,FALSE,,
154,15,¿Cómo se imprime texto en Java?,"""imprimir texto, System.out.println(), Java, salida""",Se utiliza el método System.out.println().,java,Spanish,FALSE,,
155,15,¿Qué palabra clave se usa para heredar una clase en Java?,"""herencia, extends, clase, Java, palabra clave""",La palabra clave extends se usa para heredar una clase en Java.,java,Spanish,FALSE,,
156,15,¿Qué es una variable estática en Java?,"""variable estática, clase, instancia, Java, static""",Una variable estática pertenece a la clase en lugar de a las instancias de la clase.,java,Spanish,FALSE,,
157,15,How do you declare a variable in Java?,"""declare variable, Java, type, name, syntax""",You declare it by specifying the type followed by the variable name.,java,English,FALSE,,
158,15,How do you write a single-line comment in Java?,"""single-line comment, Java, //, syntax, comment""",You write it by using // at the beginning of the line.,java,English,FALSE,,
159,15,How do you initialize an array in Java?,"""array, initialize, new, data type, size, Java""",You initialize it using new followed by the data type and the size of the array.,java,English,FALSE,,
160,15,What is the main method in Java?,"""main method, Java, entry point, program""",The main method is the entry point of a Java program.,java,English,FALSE,,
161,15,How do you print text in Java?,"""print text, System.out.println(), Java, output""",You use the System.out.println() method.,java,English,FALSE,,
162,15,What keyword is used to inherit a class in Java?,"""inheritance, extends, class, Java, keyword""",The extends keyword is used to inherit a class in Java.,java,English,FALSE,,
163,15,What is a static variable in Java?,"""static variable, class, instance, Java, static""",A static variable belongs to the class instead of the instances of the class.,java,English,FALSE,,
164,35,What is the difference between == and equals() in Java?,"""==, equals(), comparison, memory reference, object equality, Java""","""=="" checks if two object references point to the same memory location, while equals() checks if two objects are meaningfully equivalent.",java,English,FALSE,,
165,35,How does exception handling work in Java?,"""exception handling, try, catch, finally, throw, runtime errors, Java""","Exception handling in Java is done using try, catch, finally blocks and throw to handle runtime errors without crashing the program.",java,English,FALSE,,
166,35,What is the difference between an abstract class and an interface in Java?,"""abstract class, interface, abstract methods, concrete methods, Java, differences""","An abstract class can have both abstract and concrete methods, while an interface can only have abstract methods (prior to Java 8) and now default and static methods.",java,English,FALSE,,
167,35,What is the purpose of the final keyword in Java?,"""final keyword, Java, constants, prevent overriding, prevent inheritance""","The final keyword in Java is used to define constants, prevent method overriding, or prevent inheritance of a class.",java,English,FALSE,,
168,35,What is a HashMap in Java and how does it work?,"""HashMap, Java, key-value pairs, hashing, collection, access, insert, remove""","A HashMap is a collection that stores key-value pairs and uses hashing to quickly access, insert, and remove elements.",java,English,FALSE,,
169,35,What is garbage collection in Java?,"""garbage collection, Java, memory management, reclaim memory, unused objects""",Garbage collection is the process by which Java automatically reclaims memory by removing objects that are no longer in use.,java,English,FALSE,,
170,35,What are StringBuilder and StringBuffer in Java and how do they differ?,"""StringBuilder, StringBuffer, mutable strings, thread-safe, Java, differences""","StringBuilder and StringBuffer are used for creating mutable strings, but StringBuffer is thread-safe while StringBuilder is not.",java,English,FALSE,,
171,35,What is a static block in Java?,"""static block, Java, initialize, static variables, class, memory""",A static block is used to initialize static variables and is executed when the class is first loaded into memory.,java,English,FALSE,,
172,35,What is the use of the transient keyword in Java?,"""transient keyword, Java, serialization, variable, object persistence""",The transient keyword is used to indicate that a variable should not be serialized when the object is persisted.,java,English,FALSE,,
173,35,¿Qué es la sobrecarga de métodos en Java?,"""sobrecarga de métodos, Java, múltiples métodos, mismo nombre, diferentes parámetros""",La sobrecarga de métodos permite que una clase tenga múltiples métodos con el mismo nombre pero diferentes listas de parámetros.,java,Spanish,FALSE,,
174,35,¿Cuál es la diferencia entre == y equals() en Java?,"""==, equals(), comparación, referencia de memoria, igualdad de objetos, Java""","""=="" verifica si dos referencias de objetos apuntan a la misma ubicación de memoria, mientras que equals() verifica si dos objetos son significativamente equivalentes.",java,Spanish,FALSE,,
175,35,¿Cómo funciona el manejo de excepciones en Java?,"""manejo de excepciones, try, catch, finally, throw, errores en tiempo de ejecución, Java""","El manejo de excepciones en Java se realiza utilizando los bloques try, catch, finally y throw para manejar errores en tiempo de ejecución sin que el programa se cierre.",java,Spanish,FALSE,,
176,35,¿Cuál es la diferencia entre una clase abstracta y una interfaz en Java?,"""clase abstracta, interfaz, métodos abstractos, métodos concretos, Java, diferencias""","Una clase abstracta puede tener tanto métodos abstractos como concretos, mientras que una interfaz solo puede tener métodos abstractos (antes de Java 8), aunque ahora también puede tener métodos por defecto y estáticos.",java,Spanish,FALSE,,
177,35,¿Cuál es el propósito de la palabra clave final en Java?,"""palabra clave final, Java, constantes, evitar sobrescritura, evitar herencia""","La palabra clave final en Java se usa para definir constantes, evitar la sobrescritura de métodos o prevenir la herencia de una clase.",java,Spanish,FALSE,,
178,35,¿Qué es un HashMap en Java y cómo funciona?,"""HashMap, Java, pares clave-valor, hashing, colección, acceso, insertar, eliminar""","Un HashMap es una colección que almacena pares clave-valor y usa hashing para acceder, insertar y eliminar elementos rápidamente.",java,Spanish,FALSE,,
179,35,¿Qué es la recolección de basura (garbage collection) en Java?,"""recolección de basura, Java, gestión de memoria, recuperar memoria, objetos no utilizados""",La recolección de basura es el proceso mediante el cual Java recupera automáticamente la memoria eliminando los objetos que ya no se utilizan.,java,Spanish,FALSE,,
180,35,¿Qué son StringBuilder y StringBuffer en Java y en qué se diferencian?,"""StringBuilder, StringBuffer, cadenas mutables, thread-safe, Java, diferencias""","StringBuilder y StringBuffer se usan para crear cadenas mutables, pero StringBuffer es seguro para hilos (thread-safe) mientras que StringBuilder no lo es.",java,Spanish,FALSE,,
181,35,¿Qué es un bloque estático en Java?,"""bloque estático, Java, inicializar, variables estáticas, clase, memoria""",Un bloque estático se utiliza para inicializar variables estáticas y se ejecuta cuando la clase se carga por primera vez en la memoria.,java,Spanish,FALSE,,
182,35,¿Cuál es el uso de la palabra clave transient en Java?,"""palabra clave transient, Java, serialización, variable, persistencia de objetos""",La palabra clave transient se utiliza para indicar que una variable no debe ser serializada cuando el objeto se persiste.,java,Spanish,FALSE,,
183,65,¿Qué es la concurrencia en Java y cómo se gestiona con hilos (threads)?,"""concurrencia, hilos, Java, Thread, Runnable, ejecución paralela, gestión""",La concurrencia en Java permite la ejecución simultánea de múltiples hilos de manera paralela. Se gestiona con la clase Thread y la interfaz Runnable.,java,Spanish,FALSE,,
184,65,¿Qué es la sincronización y cómo se implementa en Java?,"""sincronización, Java, hilos, recursos compartidos, synchronized, concurrencia""",La sincronización en Java se utiliza para controlar el acceso a recursos compartidos por múltiples hilos. Se implementa utilizando la palabra clave synchronized.,java,Spanish,FALSE,,
185,65,¿Qué son los bloqueos (deadlocks) y cómo se pueden evitar en Java?,"""deadlock, bloqueo, hilos, Java, recursos, evitar, tryLock, orden de bloqueo""",Un deadlock ocurre cuando dos o más hilos están bloqueados indefinidamente esperando recursos que otros hilos poseen. Se puede evitar utilizando técnicas como el orden de bloqueo o tryLock.,java,Spanish,FALSE,,
186,65,¿Qué es el concepto de volatile en Java y cuándo se utiliza?,"""volatile, Java, memoria principal, caché, visibilidad, hilos, concurrencia""","La palabra clave volatile en Java se utiliza para garantizar que las variables sean leídas directamente de la memoria principal y no de la caché, asegurando la visibilidad de los cambios entre hilos.",java,Spanish,FALSE,,
187,65,¿Qué es la reflexión (Reflection) en Java y cómo se utiliza?,"""reflexión, Reflection, Java, tiempo de ejecución, inspección, manipulación, API, java.lang.reflect""","La reflexión en Java permite inspeccionar y manipular clases, métodos y campos en tiempo de ejecución, utilizando la API java.lang.reflect.",java,Spanish,FALSE,,
188,65,¿Qué es el patrón Singleton y cómo se implementa de manera segura en Java?,"""patrón Singleton, Java, instancia única, sincronización, clase interna estática, diseño""","El patrón Singleton garantiza que una clase tenga solo una instancia. En Java, se puede implementar de manera segura utilizando sincronización o una clase interna estática.",java,Spanish,FALSE,,
189,65,¿Qué es un CompletableFuture en Java y cómo difiere de un Future?,"""CompletableFuture, Future, Java, asincronía, encadenar tareas, excepciones, programación reactiva""",CompletableFuture es una extensión de Future que permite encadenar tareas asíncronas y manejar excepciones de manera más flexible. También soporta programación reactiva.,java,Spanish,FALSE,,
190,65,¿Cómo funciona el recolector de basura (Garbage Collector) en la JVM y cuáles son sus tipos?,"""Garbage Collector, JVM, Java, recolección de basura, memoria, Serial, Parallel, CMS, G1""","El Garbage Collector en la JVM gestiona la memoria automáticamente eliminando objetos no utilizados. Los tipos incluyen Serial, Parallel, CMS y G1.",java,Spanish,FALSE,,
191,65,¿Cómo se implementa la programación funcional en Java usando Streams y Lambda Expressions?,"""programación funcional, Java, Streams, Lambda Expressions, colecciones, funciones anónimas, procesamiento declarativo""","La programación funcional en Java se implementa mediante Streams para procesar colecciones de manera declarativa, y con Lambda Expressions para crear funciones anónimas más concisas.",java,Spanish,FALSE,,
192,65,¿Qué es la serialización en Java y cómo se utiliza Serializable y Externalizable?,"""serialización, Java, Serializable, Externalizable, flujo de bytes, almacenamiento, transmisión""","La serialización en Java convierte un objeto en un flujo de bytes para almacenarlo o transmitirlo. Serializable permite la serialización automática, mientras que Externalizable permite un control más detallado sobre el proceso.",java,Spanish,FALSE,,
193,65,What is concurrency in Java and how is it managed with threads?,"""concurrency, threads, Java, Thread, Runnable, parallel execution, management""",Concurrency in Java allows simultaneous execution of multiple threads. It is managed with the Thread class and the Runnable interface.,java,English,FALSE,,
194,65,What is synchronization and how is it implemented in Java?,"""synchronization, Java, threads, shared resources, synchronized, concurrency""",Synchronization in Java is used to control access to shared resources by multiple threads. It is implemented using the synchronized keyword.,java,English,FALSE,,
195,65,What are deadlocks and how can they be avoided in Java?,"""deadlock, lock, threads, Java, resources, avoid, tryLock, lock ordering""","A deadlock occurs when two or more threads are blocked indefinitely, waiting for resources held by other threads. It can be avoided using techniques like lock ordering or tryLock.",java,English,FALSE,,
196,65,What is the concept of volatile in Java and when is it used?,"""volatile, Java, main memory, cache, visibility, threads, concurrency""","The volatile keyword in Java ensures that variables are read directly from main memory, not from the cache, ensuring visibility of changes between threads.",java,English,FALSE,,
197,65,What is Reflection in Java and how is it used?,"""Reflection, Java, runtime, inspection, manipulation, API, java.lang.reflect""","Reflection in Java allows inspection and manipulation of classes, methods, and fields at runtime, using the java.lang.reflect API.",java,English,FALSE,,
198,65,What is the Singleton pattern and how is it safely implemented in Java?,"""Singleton pattern, Java, single instance, synchronization, static inner class, design""","The Singleton pattern ensures that a class has only one instance. In Java, it can be safely implemented using synchronization or a static inner class.",java,English,FALSE,,
199,65,What is a CompletableFuture in Java and how does it differ from a Future?,"""CompletableFuture, Future, Java, asynchronous, task chaining, exceptions, reactive programming""",CompletableFuture extends Future by allowing asynchronous task chaining and better exception handling. It also supports reactive programming.,java,English,FALSE,,
200,65,How does the Garbage Collector work in the JVM and what are its types?,"""Garbage Collector, JVM, Java, memory management, garbage collection, Serial, Parallel, CMS, G1""","The Garbage Collector in the JVM automatically manages memory by removing unused objects. Types include Serial, Parallel, CMS, and G1.",java,English,FALSE,,
201,65,How is functional programming implemented in Java using Streams and Lambda Expressions?,"""functional programming, Java, Streams, Lambda Expressions, collections, anonymous functions, declarative processing""",Functional programming in Java is implemented using Streams to process collections declaratively and Lambda Expressions to create concise anonymous functions.,java,English,FALSE,,
202,65,What is serialization in Java and how are Serializable and Externalizable used?,"""serialization, Java, Serializable, Externalizable, byte stream, storage, transmission""","Serialization in Java converts an object into a byte stream for storage or transmission. Serializable allows automatic serialization, while Externalizable provides more control over the process.",java,English,FALSE,,
203,15,¿Cómo se declara una variable en C#?,"""declarar variable, C#, tipo de dato, nombre, sintaxis""",Una variable en C# se declara especificando el tipo de dato seguido del nombre de la variable.,c#,Spanish,FALSE,,
204,15,¿Qué es una clase en C#?,"""clase, C#, plantilla, estructura, objeto, atributos, métodos""",Una clase en C# es una plantilla o estructura que define los atributos y métodos de un objeto.,c#,Spanish,FALSE,,
205,15,¿Qué es un objeto en C#?,"""objeto, instancia, clase, C#, entidad, datos, comportamiento""","Un objeto es una instancia de una clase, que representa una entidad con datos y comportamiento.",c#,Spanish,FALSE,,
206,15,¿Cómo se escribe un comentario de una sola línea en C#?,"""comentario de una sola línea, C#, //, sintaxis, comentario""",Un comentario de una sola línea en C# se escribe con // al inicio de la línea.,c#,Spanish,FALSE,,
207,15,¿Cómo se imprime texto en la consola en C#?,"""imprimir texto, Console.WriteLine(), C#, consola""","En C#, se usa Console.WriteLine() para imprimir texto en la consola.",c#,Spanish,FALSE,,
208,15,¿Qué es un constructor en C#?,"""constructor, C#, método especial, inicializar, objetos, clase""",Un constructor en C# es un método especial que se utiliza para inicializar objetos de una clase.,c#,Spanish,FALSE,,
209,15,¿Qué es un array en C#?,"""array, C#, colección, elementos, mismo tipo, memoria contigua""",Un array en C# es una colección de elementos del mismo tipo almacenados en ubicaciones contiguas en memoria.,c#,Spanish,FALSE,,
210,15,¿Qué palabra clave se usa para heredar una clase en C#?,"""herencia, palabra clave, C#, base, clase, heredar""",La palabra clave : base se utiliza en C# para heredar una clase.,c#,Spanish,FALSE,,
211,15,¿Cómo se declara una constante en C#?,"""declarar constante, C#, const, palabra clave, tipo, valor""","En C#, una constante se declara utilizando la palabra clave const seguida del tipo y el valor.",c#,Spanish,FALSE,,
212,15,¿Qué es un espacio de nombres (namespace) en C#?,"""namespace, C#, espacio de nombres, organizar, clases, tipos""",Un espacio de nombres en C# es una forma de organizar clases y otros tipos en grupos lógicos.,c#,Spanish,FALSE,,
213,15,How do you declare a variable in C#?,"""declare variable, C#, data type, name, syntax""",A variable in C# is declared by specifying the data type followed by the variable name.,c#,English,FALSE,,
214,15,What is a class in C#?,"""class, C#, blueprint, structure, object, attributes, methods""",A class in C# is a blueprint or structure that defines the attributes and methods of an object.,c#,English,FALSE,,
215,15,What is an object in C#?,"""object, instance, class, C#, entity, data, behavior""","An object is an instance of a class, representing an entity with data and behavior.",c#,English,FALSE,,
216,15,How do you write a single-line comment in C#?,"""single-line comment, C#, //, syntax, comment""",A single-line comment in C# is written using // at the beginning of the line.,c#,English,FALSE,,
217,15,How do you print text to the console in C#?,"""print text, Console.WriteLine(), C#, console""","In C#, Console.WriteLine() is used to print text to the console.",c#,English,FALSE,,
218,15,What is a constructor in C#?,"""constructor, C#, special method, initialize, objects, class""",A constructor in C# is a special method used to initialize objects of a class.,c#,English,FALSE,,
219,15,What is an array in C#?,"""array, C#, collection, elements, same type, contiguous memory""",An array in C# is a collection of elements of the same type stored in contiguous memory locations.,c#,English,FALSE,,
220,15,What keyword is used to inherit a class in C#?,"""inheritance, keyword, C#, base, class, inherit""",The keyword : base is used in C# to inherit a class.,c#,English,FALSE,,
221,15,How do you declare a constant in C#?,"""declare constant, C#, const, keyword, type, value""","In C#, a constant is declared using the const keyword followed by the type and value.",c#,English,FALSE,,
222,15,What is a namespace in C#?,"""namespace, C#, organize, classes, types, logical groups""",A namespace in C# is a way to organize classes and other types into logical groups.,c#,English,FALSE,,
223,15,How do you declare a variable in Python?,"""declare variable, Python, assign value, no data type""","In Python, you declare a variable by simply assigning a value to it without specifying a data type.",python,English,FALSE,,
224,15,What is a list in Python?,"""list, Python, collection, elements, square brackets, []""",A list in Python is a collection of elements that can store multiple items in a single variable and is defined using square brackets [].,python,English,FALSE,,
225,15,How do you write a single-line comment in Python?,"""single-line comment, Python, #, syntax, comment""",A single-line comment in Python is written using the # symbol at the beginning of the line.,python,English,FALSE,,
226,15,How do you print output to the console in Python?,"""print output, Python, print(), console""","In Python, you use the print() function to display output to the console.",python,English,FALSE,,
227,15,What is a function in Python?,"""function, Python, reusable code, def, block of code""",A function in Python is a block of reusable code that performs a specific task and is defined using the def keyword.,python,English,FALSE,,
228,15,What is a dictionary in Python?,"""dictionary, Python, key-value pairs, curly braces, {}""","A dictionary in Python is a collection of key-value pairs, where each key is unique, and it is defined using curly braces {}.",python,English,FALSE,,
229,15,What is a tuple in Python?,"""tuple, Python, immutable, ordered, parentheses, ()""","A tuple in Python is an immutable collection of ordered elements, defined using parentheses ().",python,English,FALSE,,
230,15,How do you check the type of a variable in Python?,"""check type, Python, type(), data type, variable""",You use the type() function to check the data type of a variable in Python.,python,English,FALSE,,
231,15,What is a for loop in Python?,"""for loop, Python, iterate, sequence, list, string, block of code""",A for loop in Python is used to iterate over a sequence (like a list or a string) and execute a block of code for each element.,python,English,FALSE,,
232,15,What is indentation in Python?,"""indentation, Python, block of code, loops, functions, conditionals""","Indentation in Python is used to define the block of code for loops, functions, and conditionals, as Python relies on indentation instead of braces.",python,English,FALSE,,
233,15,¿Cómo se declara una variable en Python?,"""declarar variable, Python, asignar valor, sin tipo de dato""","En Python, se declara una variable simplemente asignándole un valor, sin necesidad de especificar el tipo de dato.",python,Spanish,FALSE,,
234,15,¿Qué es una lista en Python?,"""lista, Python, colección, elementos, corchetes, []""",Una lista en Python es una colección de elementos que puede almacenar múltiples valores en una sola variable y se define usando corchetes [].,python,Spanish,FALSE,,
235,15,¿Cómo se escribe un comentario de una sola línea en Python?,"""comentario de una sola línea, Python, #, sintaxis, comentario""",Un comentario de una sola línea en Python se escribe usando el símbolo # al inicio de la línea.,python,Spanish,FALSE,,
236,15,¿Cómo se imprime una salida en la consola en Python?,"""imprimir salida, Python, print(), consola""","En Python, se utiliza la función print() para mostrar la salida en la consola.",python,Spanish,FALSE,,
237,15,¿Qué es una función en Python?,"""función, Python, código reutilizable, def, bloque de código""",Una función en Python es un bloque de código reutilizable que realiza una tarea específica y se define con la palabra clave def.,python,Spanish,FALSE,,
238,15,¿Qué es un diccionario en Python?,"""diccionario, Python, pares clave-valor, llaves, {}""","Un diccionario en Python es una colección de pares clave-valor, donde cada clave es única, y se define usando llaves {}.",python,Spanish,FALSE,,
239,15,¿Qué es una tupla en Python?,"""tupla, Python, inmutable, ordenada, paréntesis, ()""","Una tupla en Python es una colección inmutable de elementos ordenados, definida usando paréntesis ().",python,Spanish,FALSE,,
240,15,¿Cómo se verifica el tipo de una variable en Python?,"""verificar tipo, Python, type(), tipo de dato, variable""","En Python, se usa la función type() para verificar el tipo de dato de una variable.",python,Spanish,FALSE,,
241,15,¿Qué es un bucle for en Python?,"""bucle for, Python, iterar, secuencia, lista, cadena, bloque de código""",Un bucle for en Python se utiliza para iterar sobre una secuencia (como una lista o cadena) y ejecutar un bloque de código por cada elemento.,python,Spanish,FALSE,,
242,15,¿Qué es la indentación en Python?,"""indentación, Python, bloque de código, bucles, funciones, condicionales""","La indentación en Python se usa para definir bloques de código en bucles, funciones y condicionales, ya que Python depende de la indentación en lugar de llaves.",python,Spanish,FALSE,,
243,15,¿Cómo se declara una variable en C?,"""declarar variable, C, tipo de dato, nombre, sintaxis""","En C, una variable se declara especificando primero el tipo de dato seguido del nombre de la variable.",c,Spanish,FALSE,,
244,15,¿Cómo se imprime texto en la consola en C?,"""imprimir texto, C, printf(), consola""","En C, se utiliza la función printf() para imprimir texto en la consola.",c,Spanish,FALSE,,
245,15,¿Qué es un puntero en C?,"""puntero, C, dirección de memoria, variable, apuntador""",Un puntero es una variable que almacena la dirección de memoria de otra variable.,c,Spanish,FALSE,,
246,15,¿Qué es un array en C?,"""array, C, colección, elementos, tipo de dato, memoria contigua""",Un array en C es una colección de elementos del mismo tipo de dato almacenados en ubicaciones contiguas en memoria.,c,Spanish,FALSE,,
247,15,¿Cómo se escribe un comentario de una sola línea en C?,"""comentario de una sola línea, C, //, sintaxis, comentario""",Un comentario de una sola línea en C se escribe usando // al inicio de la línea.,c,Spanish,FALSE,,
248,15,¿Qué es un ciclo for en C?,"""ciclo for, C, iterar, bloque de código, número de veces""",Un ciclo for en C se utiliza para iterar un bloque de código un número determinado de veces.,c,Spanish,FALSE,,
249,15,¿Qué es un if en C?,"""if, C, estructura condicional, bloque de código, condición verdadera""",Un if en C es una estructura condicional que ejecuta un bloque de código si una condición es verdadera.,c,Spanish,FALSE,,
250,15,¿Qué es un bucle while en C?,"""bucle while, C, repetir, condición verdadera, bloque de código""",Un bucle while en C repite un bloque de código mientras una condición sea verdadera.,c,Spanish,FALSE,,
251,15,¿Qué es una función en C?,"""función, C, bloque de código, reutilizable, tarea, retornar valor""",Una función en C es un bloque de código reutilizable que realiza una tarea específica y puede retornar un valor.,c,Spanish,FALSE,,
252,15,¿Qué es un archivo de cabecera en C?,"""archivo de cabecera, C, definiciones, funciones, macros, #include""",Un archivo de cabecera en C contiene definiciones de funciones y macros que se incluyen en otros archivos mediante la directiva #include.,c,Spanish,FALSE,,
253,15,How do you declare a variable in C?,"""declare variable, C, data type, name, syntax""","In C, a variable is declared by specifying the data type first, followed by the variable name.",c,English,FALSE,,
254,15,How do you print text to the console in C?,"""print text, C, printf(), console""","In C, the printf() function is used to print text to the console.",c,English,FALSE,,
255,15,What is a pointer in C?,"""pointer, C, memory address, variable, reference""",A pointer is a variable that stores the memory address of another variable.,c,English,FALSE,,
256,15,What is an array in C?,"""array, C, collection, elements, data type, contiguous memory""",An array in C is a collection of elements of the same data type stored in contiguous memory locations.,c,English,FALSE,,
257,15,How do you write a single-line comment in C?,"""single-line comment, C, //, syntax, comment""",A single-line comment in C is written using // at the beginning of the line.,c,English,FALSE,,
258,15,What is a for loop in C?,"""for loop, C, iterate, block of code, specified times""",A for loop in C is used to iterate over a block of code a specified number of times.,c,English,FALSE,,
259,15,What is an if statement in C?,"""if statement, C, conditional structure, block of code, true condition""",An if statement in C is a conditional structure that executes a block of code if a condition is true.,c,English,FALSE,,
260,15,What is a while loop in C?,"""while loop, C, repeat, true condition, block of code""",A while loop in C repeats a block of code as long as a condition is true.,c,English,FALSE,,
